AUC_liver,Cmax_blood,E_off_final,E_on_final,P_brain_peak,absorption.footpad.k_blood,absorption.footpad.k_lymph,bbb.k_brainblood_to_EC,bbb.k_endo_to_ISF,distribution.k_blood_to_brain,distribution.k_blood_to_liver,dose,editing.k_cat_off,editing.k_cat_on,editing.k_off_on,editing.k_on_off,editing.k_on_on,intracellular.k_deg_m,intracellular.k_deg_p,intracellular.k_tl,intracellular.k_tx,off_target_burden_final,on_target_editing_rate_final,sample_id,specificity_index_final
16.055208441519657,0.14082872024154222,5.4388754563255866e-08,5.460843775419979e-07,7.92421747167093e-07,0.00785650342976086,0.042156326601089,0.014439265926770938,0.0038535019497177555,0.001327599494194497,0.11657041420217758,1.0,0.002158429060655342,0.2393730276055615,0.06987111820903814,0.7991191549207807,0.1379465511965742,0.07205121892126798,0.018329729092250717,0.11282794576059343,0.06012024923276767,2.9241265894223587e-08,5.460843775419979e-07,0,10.040206688318403
22.75010401808114,0.10296037815743218,5.685904234070555e-06,0.0001840077060282023,0.00013515426130201465,0.0327551390161398,0.033440207242267574,0.008640441087850153,0.03664538138913679,0.009560499852206094,0.26038873935657797,1.0,0.03712969623890975,1.0149704355825957,0.15601860583728258,0.026052944914168208,0.17202219151505607,0.17486087378733672,0.0077028279007367835,0.2540132716942958,0.05797809530130307,3.056937760252987e-06,0.0001840077060282023,1,32.36207753263427
17.24010367360575,0.2263617243571901,2.622924698467139e-07,1.995795627519733e-05,3.576525143345551e-06,0.015257043263401136,0.08708502173927414,0.0024918083998891716,0.002137756392012543,0.0012784289158851968,0.08815104680751985,1.0,0.004558365664295775,0.936728188884819,0.15108269277356437,0.40588888518912275,0.806062566001837,0.05889253886814343,0.02889372620172903,0.27488997265379733,0.43457595796061005,1.4101745690683544e-07,1.995795627519733e-05,2,76.09017596534484
22.24953344081414,0.13270640406614528,0.00045137405594272126,0.003781855857451037,0.0005425778726269418,0.02411384191310501,0.0750678030540239,0.005785269152698863,0.03717910300842139,0.017350247188851198,0.21392993276724057,1.0,0.035203012067896056,0.588155135809727,0.05778064456055673,0.5745138422371228,0.9504432724492113,0.05750069653464501,0.0078832707535361,1.1440304859975239,0.07276553365166594,0.00024267422362511898,0.003781855857451037,3,8.378540590184937
20.478843522535932,0.21223658415464428,0.0028995694487559493,0.00012677287007113435,0.0002390441908352849,0.012798672599966844,0.15014393975201223,0.016984661722708065,0.005381065879920322,0.010228609356768099,0.1314500629436538,1.0,0.16532949716534417,0.544138244809621,0.6649703878017091,1.928162114111693,0.1322326968042732,0.2174003044727158,0.0365638522501133,0.46000339179272026,0.7216107222665739,0.0015589083057827686,0.00012677287007113435,4,0.043721273888371444
17.197504275965628,0.14528484849680925,1.8075790539131631e-07,4.0646427239086154e-05,1.8977606062274055e-05,0.015881672754120474,0.0385146120589137,0.010982306044004126,0.0018587611403646652,0.0010922793871345896,0.1223000431203678,1.0,0.016305845442814753,1.2446300568442443,0.21149245686475154,0.015325688395143705,0.31277329648625374,0.023211205068517527,0.007366234034658429,1.1856148508080138,0.07254156758774506,9.718166956522383e-08,4.0646427239086154e-05,5,224.86542032932013
21.67714290160918,0.18259726062059872,0.0002087744706109092,0.0007325692675331345,0.0009360691448393588,0.07051456972557713,0.07087121933046148,0.005585695333986408,0.004627324270515655,0.029368630702154813,0.18389835806607027,1.0,0.038906903286796655,0.1182465309565297,0.11764644825964411,0.13059116291668807,0.22513108115376199,0.1865992789579416,0.007858191891011713,2.1819800102586475,0.1563687627700045,0.00011224433903812322,0.0007325692675331345,6,3.508902510352972
10.624808330577359,0.16775768357790158,0.004758415630785753,0.00039100895258433464,0.0009163168305409575,0.0050616942142563985,0.03662491411623937,0.01615632614457756,0.03364496294300888,0.004239852462255962,0.06219411805102441,1.0,0.14237561772862523,0.8882350771952388,1.380625373257278,1.028681828825109,0.12822886153378513,0.07353222547414552,0.03790762665352785,0.7300584187861623,0.4487424061002828,0.0025582879735407274,0.00039100895258433464,7,0.08217208895591904
6.650174291438573,0.2540904528955499,4.0931988227592275e-08,2.9231290783955367e-06,1.332243737139001e-05,0.01652165057562984,0.0493638361994715,0.002516255517690902,0.0012820203555889084,0.011957460259233547,0.026472750501857108,1.0,0.0011717261656424944,0.07269792396568633,0.08735856680500556,0.06865581664133999,0.10010748801270751,0.030134361055499194,0.0058529180322394415,0.2987958804902053,0.09707497776528796,2.200644528365176e-08,2.9231290783955367e-06,8,71.4125502429139
9.603362812777847,0.3666795179993343,5.383629313512533e-07,0.00010090664953089921,3.866921739875055e-05,0.0314696691344788,0.1497484628273493,0.007203920124347314,0.0038318780290237733,0.002682738622813712,0.029904663712139987,1.0,0.005182877082316395,0.07289213934715184,0.06863764662778636,0.06143492626816255,0.9282593081727724,0.170701528827933,0.02019464710273076,2.445107891881333,0.07387852774137224,2.894424362103513e-07,0.00010090664953089921,9,187.4320392854533
