assay,time_h,observed,predicted,sd,weight,weighted_residual
vector_qpcr_blood,1.0,0.2,0.030509141625474193,0.05,1.0,-3.3898171674905164
vector_qpcr_liver,24.0,0.3,0.2624706844364028,0.08,1.0,-0.4691164445449647
vector_qpcr_brain,72.0,0.001,0.0003852303226783721,0.0003,2.0,-4.098464515477519
puf_mrna_qpcr,72.0,0.001,0.0010032190028418642,0.0002,1.0,0.016095014209320826
editor_western,72.0,0.003,0.004221708294472933,0.0008,1.0,1.5271353680911663
on_editing_amplicon_pct,72.0,1.3,1.7597854926530918,0.3,3.0,4.597854926530918
off_editing_amplicon_pct,72.0,0.03,0.000582025213092261,0.02,3.0,-4.41269621803616
viability_pct,72.0,95.0,96.9607735867062,5.0,1.0,0.39215471734123925
