parameter,scale,p_base,p_pert,P_brain_peak_base,P_brain_peak_pert,P_brain_peak_sens,on_target_editing_rate_final_base,on_target_editing_rate_final_pert,on_target_editing_rate_final_sens,off_target_burden_final_base,off_target_burden_final_pert,off_target_burden_final_sens,specificity_index_final_base,specificity_index_final_pert,specificity_index_final_sens,AUC_liver_base,AUC_liver_pert,AUC_liver_sens,Cmax_blood_base,Cmax_blood_pert,Cmax_blood_sens
k_lymph,0.8,0.08,0.064,0.5708580782547994,0.5558025043232685,0.1318679239642022,0.999216215357269,0.9989764742993796,0.0011996455532082026,0.13326972813569252,0.12863122314512962,0.1740269547875143,1.4995396619078984,1.5532410403510195,-0.1790595467638234,25.778614395375772,25.535733091318274,0.04710906884527249,0.23483431399697355,0.22208396049739823,0.27147551996467684
k_lymph,1.2,0.08,0.096,0.5708580782547994,0.582661416410838,0.10338242205596211,0.999216215357269,0.9993673113530287,0.0007560725768729777,0.13326972813569252,0.13697412745886434,0.13898127410450165,1.4995396619078984,1.4592059535501647,-0.13448696750846942,25.778614395375772,25.960945486770537,0.03536479668734098,0.23483431399697355,0.24555589656934118,0.2282797260307071
k_blood,0.8,0.03,0.024,0.5708580782547994,0.5598653177785635,0.09628277933669985,0.999216215357269,0.9990296827068268,0.000933394832746597,0.13326972813569252,0.12956112672693043,0.139138927520962,1.4995396619078984,1.542175045777257,-0.14216157448984224,25.778614395375772,25.674817023895653,0.02013245744867093,0.23483431399697355,0.22838434733382473,0.13733015744947608
k_blood,1.2,0.03,0.036,0.5708580782547994,0.5808777017504433,0.08775932125087393,0.999216215357269,0.9993562056669313,0.000700500589915973,0.13326972813569252,0.13667374334599142,0.12771149374721472,1.4995396619078984,1.4623967723421245,-0.12384763974337365,25.778614395375772,25.871602668447608,0.018035933127677317,0.23483431399697355,0.2413013602835238,0.1376938100841942
k_deg_loc,0.8,0.005,0.004,0.5708580782547994,0.5749988633863722,-0.03626807861099034,0.999216215357269,0.9992601819793824,-0.00022000554753631065,0.13326972813569252,0.13426994556775898,-0.03752605509362421,1.4995396619078984,1.4884346273509435,0.037028145500419135,25.778614395375772,26.000934143428452,-0.043120965433378795,0.23483431399697355,0.23615868872610093,-0.028198066683399057
k_deg_loc,1.2,0.005,0.006,0.5708580782547994,0.5667755809031546,-0.03575755084456023,0.999216215357269,0.9991703106048233,-0.00022970380053975175,0.13326972813569252,0.1322825054166668,-0.037038520781723955,1.4995396619078984,1.5106613039359977,0.037083520731785675,25.778614395375772,25.560052510365395,-0.04239209324019823,0.23483431399697355,0.23353590749100087,-0.02764516147306768
k_blood_to_liver,0.8,0.08,0.064,0.5708580782547994,0.6286385540073693,-0.5060844188209941,0.999216215357269,0.9996515955527581,-0.0021786085373593778,0.13326972813569252,0.14721085158228212,-0.5230416404989973,1.4995396619078984,1.3581221558149255,0.47153639775370887,25.778614395375772,23.220632837788322,0.4961441135576135,0.23483431399697355,0.2540760126531083,-0.4096866920475416
k_blood_to_liver,1.2,0.08,0.096,0.5708580782547994,0.522689507328823,-0.42189620118221915,0.999216215357269,0.9984610766123782,-0.0037786553765085788,0.13326972813569252,0.12149479448130004,-0.44177075391057574,1.4995396619078984,1.6436277469721772,0.4804410604283456,25.778614395375772,27.814738231014164,0.3949249956591221,0.23483431399697355,0.218308458984636,-0.3518620156284003
k_blood_to_brain,0.8,0.01,0.008,0.5708580782547994,0.4630709115823679,0.9440802432187119,0.999216215357269,0.9961414186656004,0.015386042802404213,0.13326972813569252,0.10519461382944788,1.053319260832405,1.4995396619078984,1.8939019449774328,-1.3149444895901525,25.778614395375772,26.290183588696372,-0.09922356288714389,0.23483431399697355,0.23721974221189046,-0.05078960085338412
k_blood_to_brain,1.2,0.01,0.012,0.5708580782547994,0.6757057286719638,0.9183337716591461,0.999216215357269,0.9998413110739448,0.003127930207038782,0.13326972813569252,0.16051880918088762,1.0223282296130538,1.4995396619078984,1.2457621834784287,-0.8461846154391903,25.778614395375772,25.285729450138195,-0.095599580659772,0.23483431399697355,0.23251111681782316,-0.04946460207643097
