dose,E_on_final,E_off_final,on_target_editing_rate_final,off_target_burden_final,specificity_index_final,P_brain_peak,AUC_liver,Cmax_blood,feasible,on_target_ok,off_target_ok,specificity_ok,liver_ok,blood_ok
0.1,0.36548589313928465,0.045283271293471865,0.36548589313928465,0.009056654258694372,8.071101815117823,0.05708580811665518,2.57786143189462,0.023483433495985938,True,True,True,True,True,True
1.0,0.999216215357269,0.6663486406784626,0.999216215357269,0.13326972813569252,1.4995396619078984,0.5708580782547994,25.778614395375772,0.23483431399697355,False,True,False,False,False,True
1.9000000000000001,0.9999997819865171,1.3208968014586486,0.9999997819865171,0.2641793602917297,0.7570612487527213,1.0846303483992126,48.9793673600135,0.4461851922901961,False,True,False,False,False,True
2.8000000000000003,0.999999999641613,1.9513071378028866,0.999999999641613,0.3902614275605773,0.5124769854360655,1.5984024702010255,72.18012030411728,0.6575360962057442,False,True,False,False,False,True
3.7,1.000000000028271,2.550741544171057,1.000000000028271,0.5101483088342114,0.39204285605222305,2.112174046710096,95.38087597352114,0.8688870551706181,False,True,False,False,False,True
4.6,0.9999999999426249,3.109932833613266,0.9999999999426249,0.6219865667226532,0.32155035283525923,2.6259465108334394,118.58162590472953,1.0802379468667636,False,True,False,False,False,False
5.5,1.0000000000008944,3.616380102408613,1.0000000000008944,0.7232760204817226,0.2765196057058795,3.1397164390658983,141.78237219692295,1.291588864036279,False,True,False,False,False,False
6.3999999999999995,1.0000000004042922,4.05426240704484,1.0000000004042922,0.810852481408968,0.2466539902958446,3.653490588134445,164.98313051146127,1.5029397797928383,False,True,False,False,False,False
7.3,1.0000000000013367,4.406577493165879,1.0000000000013367,0.8813154986331758,0.22693348784901676,4.167263383067687,188.18388495493696,1.7142906978614556,False,True,False,False,False,False
8.2,1.0000000000000013,4.662023927904251,1.0000000000000013,0.9324047855808502,0.2144991135747609,4.6810361081131395,211.3846404957584,1.925641604094305,False,True,False,False,False,False
9.1,1.0000000001114453,4.8245836142536636,1.0000000001114453,0.9649167228507327,0.20727177308252176,5.194808354513441,234.58539786378745,2.1369925061833146,False,True,False,False,False,False
10.0,1.0000000000000713,4.9152677865189895,1.0000000000000713,0.983053557303798,0.20344771504465098,5.708580529563308,257.78615230983667,2.348343413027753,False,True,False,False,False,False
