AUC_liver,Cmax_blood,E_off_final,E_on_final,P_brain_peak,_sample_time_h,apoe2_like_fraction_final,apoe3_like_fraction_final,apoe4_fraction_final,deaminase_background_burden_final,deaminase_background_scale,design_id,dose,dose_level,editor_activity_scale,editor_type,kcat112_scale,kcat158_scale,kon112_scale,kon158_scale,ldlr_binding_risk_proxy_final,local_bystander_burden_final,local_bystander_scale,mixed_edit_fraction_final,off_target_burden_final,off_target_editing_fraction_final,on_target_editing_fraction_final,on_target_editing_rate_final,puf_mismatch_burden_final,puf_offtarget_scale,sample_time_h,specificity_index_final,utility
31.705527119166877,0.46966845227192583,0.0037603958996293347,0.1248942778599637,0.004498389589609498,72.0,3.610718236880017e-06,0.06660959621914092,0.9195397553808025,9.790067493127057e-06,0.4,10R-proapobec,2.0,high,1.0,ProAPOBEC,1.0,0.011585258317652045,4.559995135703123,2.15398918276788,3.610718236880017e-06,0.0037246031370986154,0.03,4.081826971039334e-05,0.003734393581487049,0.0037204997710185385,0.0666132069373778,0.0666132069373778,3.768953059720863e-10,0.06081006262521797,72.0,17.837757447391972,0.03520648565350162
31.7055277397506,0.46966846145918584,0.004158828650260035,0.1032461063554136,0.003936951723732103,72.0,8.108251432250008e-07,0.05519404433441707,0.9302832287498609,2.7434533750888944e-05,0.8,10R-design-4,2.0,high,1.0,A3A,1.0,0.0047102145322147375,4.769881952993697,2.0592082346218303,8.108251432250008e-07,0.004101215548833955,0.04,1.129372242943311e-05,0.004128650346653466,0.004111674679558299,0.0551948551595603,0.0551948551595603,2.640686215881296e-10,0.06081006262521797,72.0,13.368740511297478,0.023160389455152947
15.852764069060193,0.2348342285001244,0.0018965787258520795,0.06299543088379005,0.002203434943875248,72.0,9.080909997947322e-07,0.03384083334119721,0.959157868539614,4.859065601803277e-06,0.4,10R-proapobec,1.0,medium,1.0,ProAPOBEC,1.0,0.011585258317652045,4.559995135703123,2.15398918276788,9.080909997947322e-07,0.0018851069987443241,0.03,2.12279294139533e-05,0.0018899662515759902,0.0018864010173144474,0.033841741432197,0.033841741432197,1.872298627201546e-10,0.06081006262521797,72.0,17.906003023140624,0.006105799481946613
31.705524782998737,0.4696684692361696,0.009079226989819226,0.08335051228317532,0.005042443163504178,72.0,0.0001375338347904848,0.04441272106873399,0.9399524970301046,3.984217354947657e-05,0.9,10R-dual-site,2.0,high,1.0,A3A,1.0,0.808,2.9663183076689656,2.2307136502156104,0.0001375338347904848,0.00897981681139847,0.1,0.002386456429154205,0.00901965982393018,0.008939032789009477,0.04455025490352448,0.04455025490352448,8.389822348345634e-10,0.09536916221554964,72.0,4.939238925665552,0.0033087560217680174
19.98508605087447,0.469668452268693,0.00013891015525348884,0.004614023661691509,0.00026551164247891703,48.0,6.002205314801826e-09,0.0030412710827784225,0.9961289664327837,3.630194756101923e-07,0.4,10R-proapobec,2.0,high,1.0,ProAPOBEC,1.0,0.011585258317652045,4.559995135703123,2.15398918276788,6.002205314801826e-09,0.00013850449461443064,0.03,1.8538807308089016e-06,0.00013886752730255113,0.00013884824578984918,0.0030412770849837373,0.0030412770849837373,1.3212510309758187e-11,0.06081006262521797,48.0,21.900563235808573,0.0027513333726430244
19.985086633692028,0.46966846146039604,0.00015196626553970162,0.0037724888949627017,0.00023298549837374712,48.0,1.3296993771767705e-09,0.0024881552972563898,0.9966454018073869,1.0202976164546594e-06,0.8,10R-design-4,2.0,high,1.0,A3A,1.0,0.0047102145322147375,4.769881952993697,2.0592082346218303,1.3296993771767705e-09,0.00015089719592368224,0.04,5.073553575135897e-07,0.0001519175028253292,0.00015189442740307319,0.002488156626955767,0.002488156626955767,9.285192324668461e-12,0.06081006262521797,48.0,16.37834064086414,0.0021793469138645127
9.99254329578327,0.23483422849831775,6.948065272352867e-05,0.002307868194564141,0.00013262297218519052,48.0,1.5007963635658862e-09,0.0015216572684103604,0.9980632535844787,1.8144403139215818e-07,0.4,10R-proapobec,1.0,medium,1.0,ProAPOBEC,1.0,0.011585258317652045,4.559995135703123,2.15398918276788,1.5007963635658862e-09,6.92885372455211e-05,0.03,9.284366932516717e-07,6.946998788120377e-05,6.946516213716247e-05,0.0015216587692067239,0.0015216587692067239,6.6042905072710616e-12,0.06081006262521797,48.0,21.903829174525686,0.0013766442135846877
19.98508444877342,0.4696684692363077,0.0003311739547181972,0.0030517776081147668,0.00030288823213085525,48.0,2.3110512834707418e-07,0.0020126608349331425,0.9970951809775098,1.4927578412241656e-06,0.9,10R-dual-site,2.0,high,1.0,A3A,1.0,0.808,2.9663183076689656,2.2307136502156104,2.3110512834707418e-07,0.0003295849455390169,0.1,0.0001078693259255749,0.0003310777330814488,0.00033096815689401124,0.0020128919400614897,0.0020128919400614897,2.970120768556569e-11,0.09536916221554964,48.0,6.079816710259539,0.0013705287919600908
9.99254344302675,0.23483420081770223,7.60030610710384e-05,0.0018867490518623923,0.00011638323656985637,48.0,3.324513987891634e-10,0.0012447525769407218,0.9983218371426237,5.099819545081473e-07,0.8,10R-design-4,1.0,medium,1.0,A3A,1.0,0.0047102145322147375,4.769881952993697,2.0592082346218303,3.324513987891634e-10,7.548087655193899e-05,0.04,2.540252911232522e-07,7.599086314780906e-05,7.598508897523548e-05,0.0012447529093921206,0.0012447529093921206,4.641361916923718e-12,0.06081006262521797,48.0,16.380296807437187,0.00109030731043486
4.996271538580471,0.11741713550515201,3.474661941315728e-05,0.0011541448433012398,6.627907822911774e-05,48.0,3.7523208092763624e-10,0.0007610823321093982,0.9990313223694519,9.070531234390122e-08,0.4,10R-proapobec,0.5,low,1.0,ProAPOBEC,1.0,0.011585258317652045,4.559995135703123,2.15398918276788,3.7523208092763624e-10,3.465324362037455e-05,0.03,4.645914332081304e-07,3.474395223436309e-05,3.4742745134050924e-05,0.0007610827073414792,0.0007610827073414792,3.301644637398216e-12,0.06081006262521797,48.0,21.905472362610162,0.0006885648102451249
