AUC_liver,Cmax_blood,E_off_final,E_on_final,P_brain_peak,absorption.footpad.k_blood,absorption.footpad.k_lymph,apoe2_like_fraction_final,apoe3_like_fraction_final,apoe4_fraction_final,bbb.k_brainblood_to_EC,bbb.k_endo_to_ISF,deaminase_background_burden_final,distribution.k_blood_to_brain,distribution.k_blood_to_liver,dose,editing.k_cat_112,editing.k_cat_158,editing.k_cat_off,editing.k_cat_on,editing.k_cat_puf_off,editing.k_deaminase_bg,editing.k_off_on,editing.k_on_112,editing.k_on_158,editing.k_on_off,editing.k_on_on,editing.k_on_puf_off,editing.local_bystander_per_112,editing.local_bystander_per_158,intracellular.k_deg_m,intracellular.k_deg_p,intracellular.k_tl,intracellular.k_tx,ldlr_binding_risk_proxy_final,local_bystander_burden_final,mixed_edit_fraction_final,off_target_burden_final,off_target_editing_fraction_final,on_target_editing_fraction_final,on_target_editing_rate_final,puf_mismatch_burden_final,sample_id,specificity_index_final
9.03237192579397,0.14082710875918095,3.817000413332484e-09,2.749349446632298e-08,4.043905549152185e-08,0.00785650342976086,0.042156326601089,1.6132405657660516e-15,1.835332455432731e-08,0.9999997387815006,0.014439265926770938,0.0038535019497177555,1.0176218748278486e-11,0.001327599494194497,0.11657041420217758,1.0,0.5394953422385598,0.158718115301781,0.002158429060655342,0.2393730276055615,0.16697343706053527,1.4248555094174517e-05,0.06987111820903814,0.2795618651014512,3.7460984380628024,0.7991191549207807,0.1379465511965742,0.011765996162030659,0.09448474049440775,0.005669969687296118,0.07205121892126798,0.018329729092250717,0.11282794576059343,0.06012024923276767,1.6132405657660516e-15,3.3182694402166017e-09,8.492903570080826e-08,3.817000196105283e-09,3.817000181531976e-09,1.8353326167567876e-08,1.8353326167567876e-08,4.885545371404041e-10,0,4.8070521805010795
3.668023611889759,0.14642806057453234,2.335296092483247e-06,5.394276242287113e-05,2.602475466766129e-05,0.007115759140399261,0.02787950631060368,1.4639252966629572e-10,3.634496099941135e-05,0.9999153890981922,0.0038955115676614646,0.008545910754775508,3.533424145657454e-07,0.02435421882481622,0.04611399759354972,1.0,0.241818769800551,0.5834357958924539,0.007044883080525504,0.6151932752158372,0.0006393959833504126,0.0007873900052872256,0.10688781960062708,1.4829405028289162,0.10467748284681097,0.09636131572556395,0.13158377446706004,0.07701317172652751,0.016161918368906156,0.18930420636046308,0.05122908382804802,0.0060347647399812705,0.583060879172905,0.38089524987346113,1.4639252966629572e-10,1.973179074422011e-06,3.907784026515979e-06,2.33525942892379e-06,2.335253975497589e-06,3.634510739194102e-05,3.634510739194102e-05,8.737939936033026e-09,1,15.563620631783282
17.037130759070116,0.12207843333746025,2.7533933090474357e-08,1.089169633486483e-06,3.1544881748459007e-07,0.011846380376853248,0.10726926011439056,1.0637846566416074e-13,7.198828048710922e-07,0.9999986453607945,0.009351641291933529,0.01632996263634304,9.015786547863482e-09,0.0015870485615827785,0.2843184652491223,1.0,0.43342271002647803,0.7666842824454873,0.07526296747559025,1.2633915852270363,0.0036729315327087243,0.0015573504473633596,0.41399198891519673,1.544328741624807,0.24830359748113603,0.052715998642390516,3.3817518199809835,0.35454057063205535,0.0013791203685730301,0.06688432105227421,0.06876675269563678,0.03701168670096137,0.11345127820655908,0.08104771359375126,1.0637846566416074e-13,1.551607045804579e-08,1.3814184594722402e-07,2.753392802115565e-08,2.7533927263010943e-08,7.198829112495579e-07,7.198829112495579e-07,3.002071015246381e-09,2,26.14435420718262
17.784036100992946,0.2260320618558884,7.752361095056798e-08,6.560229938765348e-07,3.220820389804722e-07,0.09795297034344348,0.08874805629690143,1.75058939911125e-14,4.276579705514135e-07,0.9999968704157721,0.008300247272071237,0.011782074491496545,4.4369083113002297e-08,0.003044523091791616,0.18522028699512974,1.0,0.043479431513332126,0.13447625609347655,0.01135433025200389,0.08057137946965669,0.05063692440357165,0.007112768112853638,0.8505999232396846,5.531513138293051,0.23886605433014718,0.03713377996684945,0.13119244883270473,0.24222917491648102,0.004371749015111029,0.012039999031148907,0.06419011860909005,0.007100928591712552,0.17175981049525837,0.053716982831313306,1.75058939911125e-14,3.6189324960487414e-09,4.051948546114266e-08,7.752353236339219e-08,7.752352635341706e-08,4.276579880573075e-07,4.276579880573075e-07,2.9535516754341144e-08,3,5.516421383340633
18.502399609011007,0.15366520588840502,1.5065837398325215e-07,1.064982535414814e-06,2.3051931119291648e-07,0.07068567254254148,0.045687896255468395,9.774076037683022e-14,6.961914500812318e-07,0.9999984758859116,0.00383125773122631,0.0023529289651928833,1.6439803260352094e-08,0.0018047210834763244,0.2675526723811986,1.0,0.3221841125902081,0.28739763170065097,0.37357922102169266,0.19522542642827062,0.09319346261306612,0.0037558019623891636,0.2345024758443614,2.4042925696715103,0.6053134981431372,0.2009870813191861,0.10190305562141058,0.0013987020108882247,0.10286818288251087,0.11915539942780524,0.06807544211038911,0.010985282689401328,0.6661304951519454,0.10495982311449499,9.774076037683022e-14,1.340062496587095e-07,1.3399381456198777e-07,1.506583344038871e-07,1.5065831170580613e-07,6.961915478219922e-07,6.961915478219922e-07,2.122814848254765e-10,4,4.620965243061926
3.692172985925997,0.25407319383258165,1.9954961994988914e-07,2.215856931318554e-06,1.7327134903817918e-07,0.01652165057562984,0.0493638361994715,1.0684985417171944e-15,1.48929197730442e-06,0.9999976719972686,0.002516255517690902,0.0012820203555889084,7.592946655928183e-11,0.011957460259233547,0.026472750501857108,1.0,0.5072934212711948,0.0226652138041694,0.0011717261656424944,0.07269792396568633,0.0015926283315717226,2.5439342854062352e-05,0.08735856680500556,5.606150529788504,0.0454197927018019,0.06865581664133999,0.10010748801270751,0.008661517049968915,0.08983164080091847,0.38380697185044005,0.030134361055499194,0.0058529180322394415,0.2987958804902053,0.09707497776528796,1.0684985417171944e-15,1.9945736867146691e-07,7.077044736204111e-10,1.9954956075308172e-07,1.9954952093286292e-07,1.4892919783729185e-06,1.4892919783729185e-06,1.6262615055539176e-11,5,7.463231237009354
4.194317506088152,0.3011459433949174,2.2659947738086896e-07,1.1924012809937969e-05,3.4735158276467606e-07,0.02130361992325556,0.058481628121447846,2.5971064634248373e-13,7.970336188971862e-06,0.999990243355308,0.007078694404082383,0.00265556186672805,2.1277106995461422e-08,0.0014914671614333402,0.025237027177691346,1.0,1.5987159774853348,0.023900523425470034,0.026628796582409183,0.37082142307498456,0.000355967842646373,0.0035333787304172755,0.0858689330211768,9.057377843594466,0.9342607903878819,0.011540525472602627,1.1389765695492466,0.009765887983931808,0.016807808144250723,0.10645046522629222,0.030068628822950045,0.08634372087240594,0.10771754144564327,0.6965712008803887,2.5971064634248373e-13,2.0531394004126446e-07,3.090289842746965e-08,2.2659933511402376e-07,2.265992837665501e-07,7.97033644868251e-06,7.97033644868251e-06,8.288077297893746e-12,6,35.17354219575171
9.461376363009162,0.09442757662471843,0.00023873436659350503,0.00549611996011507,0.000496253296367246,0.009753352293567668,0.04272627099499559,1.1253886992944162e-06,0.003594641391744743,0.9956927637089378,0.04645072337066963,0.019560783691215014,1.4783781720215876e-06,0.047136769655940276,0.18006996477732387,1.0,2.4555648461866877,1.371372332172983,0.005006149700949617,0.05542770222629475,0.14206455322536285,0.00015983577644014367,0.05564138662282251,2.426855304926689,0.2362953292308097,0.04394914592099654,0.5141917291948198,0.4641785656961737,0.0032158102721573114,0.003892839066271445,0.12959973695757818,0.023574012609436753,0.2074761615539463,0.6736624372172012,1.1253886992944162e-06,1.9295292982736217e-05,0.00027212243044560073,0.00023869464843110822,0.00023863768689209446,0.0035957667804440378,0.0035957667804440378,0.00021792097727635042,7,15.064295697521908
6.780453855684392,0.11099757102074324,6.850849157849804e-06,5.823170709604827e-05,1.5544225636845436e-05,0.009222865607129649,0.03145836586888864,2.666387887321184e-09,3.839560462682879e-05,0.9998120564525824,0.04440768453823767,0.005863341546980466,3.863281265877305e-06,0.03385297657568741,0.10838995369677172,1.0,0.13872529417984433,1.687642918001859,0.003032667261206552,0.7956828966225165,0.002113440013675902,0.013347665613414373,0.8959136552937267,3.7867868650328522,1.66478008285251,0.12588317388503628,6.600157132824835,0.011704590521584278,0.046535402052174164,0.002769234426294953,0.1507187300890679,0.03617526739508467,0.13137575899432588,0.39830672552136814,2.666387887321184e-09,2.9844905426622038e-06,6.495631564643384e-05,6.850633158541219e-06,6.850586227681201e-06,3.8398271014716115e-05,3.8398271014716115e-05,2.861350001709627e-09,8,5.605068104099344
9.079880377811051,0.06736631343549111,2.646160050179957e-06,0.00010972629092573168,1.058678780965358e-05,0.007863603356860717,0.02679590090017027,3.3444962747433236e-09,7.258512937625785e-05,0.9997778397111635,0.0034293357543659373,0.02109207806530553,1.7991873188013133e-08,0.023454310804956163,0.23185615860545836,1.0,0.2211770841083505,0.7057900503022934,0.026377063871249905,1.796363876965158,0.0006781320432905202,9.27025558916958e-05,0.052697261347607126,7.366303530625517,2.462732490240986,0.3125510068987748,0.1827964275905648,0.003711905730300378,0.003576748118867609,0.03356948608687377,0.10519477455220401,0.025869806421125695,0.30892188813192295,1.1271956076802936,3.3444962747433236e-09,2.62786984893426e-06,4.3874852025558546e-05,2.6460567525603964e-06,2.646049750959939e-06,7.25884738725326e-05,7.25884738725326e-05,1.950304381228679e-10,9,27.432686910693818
